Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Mattia Aramu,ITA,MF,Venezia,Serie A,26,1995,23.3,71,3.04,31,19,4,2,14,1,10,0.43,7,1,0,0,2,0
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,32,1989,17.5,33,1.88,30,1,1,0,0,1,6,0.34,5,0,1,0,0,0
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,29,1991,29.1,8,0.28,6,0,1,1,0,0,2,0.07,2,0,0,0,0,0
Ronald Araújo,URU,DF,Barcelona,La Liga,22,1999,25.2,13,0.51,10,0,0,2,1,0,0,0.00,0,0,0,0,0,0
Cameron Archer,ENG,MF,Aston Villa,Premier League,19,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alphonse Areola,FRA,GK,West Ham,Premier League,28,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jesús Areso,ESP,DF,Osasuna,La Liga,22,1999,2.1,2,0.96,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Matias Arezo,URU,FW,Granada,La Liga,18,2002,1.8,7,3.89,6,0,0,1,0,0,1,0.56,0,0,0,1,0,0
Santiago Arias,COL,DF,Granada,La Liga,29,1992,4.9,8,1.64,5,1,1,0,1,0,0,0.00,0,0,0,0,0,0
Adam Armstrong,ENG,FW,Southampton,Premier League,24,1997,15.7,29,1.85,17,0,4,4,4,0,3,0.19,2,0,0,0,1,0
Stuart Armstrong,SCO,MF,Southampton,Premier League,29,1992,16.4,51,3.12,40,2,2,2,4,1,2,0.12,1,0,0,0,1,0
Marko Arnautović,AUT,FW,Bologna,Serie A,32,1989,29.9,82,2.74,64,0,6,8,2,2,6,0.20,4,0,1,1,0,0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,27,1994,33.3,95,2.86,48,44,0,0,3,0,5,0.15,3,1,0,0,1,0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,26,1994,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tolgay Arslan,GER,MF,Udinese,Serie A,30,1990,18.4,46,2.50,27,7,0,4,6,2,7,0.38,2,0,0,2,3,0
Arthur,BRA,FW,Fiorentina,Serie A,23,1998,8.3,16,1.92,11,0,3,1,1,0,5,0.60,3,0,1,1,0,0
Santiago Arzamendia,PAR,MF,Cádiz,La Liga,23,1998,5.2,4,0.77,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Takuma Asano,JPN,FW,Bochum,Bundesliga,26,1994,17.9,43,2.41,31,0,3,3,4,2,5,0.28,4,0,0,0,1,0
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,24,1997,26.4,30,1.14,26,0,1,1,1,1,1,0.04,1,0,0,0,0,0
Sergio Asenjo,ESP,GK,Villarreal,La Liga,32,1989,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alejandro Asensio,ESP,FW,Rayo Vallecano,La Liga,20,2000,0.1,2,15.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,25,1996,19.2,65,3.38,41,10,3,8,2,1,7,0.36,3,0,1,2,0,1
Harrison Ashby,SCO,DF,West Ham,Premier League,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,20,2001,8.4,7,0.84,6,0,1,0,0,0,1,0.12,1,0,0,0,0,0
Fisnik Asllani,KVX,MF,Hoffenheim,Bundesliga,18,2002,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kristjan Asllani,ALB,MF,Empoli,Serie A,19,2002,15.0,28,1.86,19,3,1,2,1,2,2,0.13,2,0,0,0,0,0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,33,1987,34.3,113,3.29,89,7,4,7,6,0,15,0.44,10,0,1,4,0,0
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,21,2000,6.8,18,2.63,13,0,1,3,1,0,2,0.29,2,0,0,0,0,0
Simon Asta,GER,DF,Greuther Fürth,Bundesliga,20,2001,8.7,8,0.92,5,3,0,0,0,0,1,0.11,0,1,0,0,0,0
