Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Sebastien De Maio,FRA,DF,Udinese,Serie A,32,1987,16.7,850,136,523,338,43,11,818,2,3,66.7,2,0,465,2725,1408,16,6,0,2,3,487,472,96.9,7
Rodrigo De Paul,ARG,MF,Udinese,Serie A,25,1994,31.4,2268,26,383,1171,958,96,2062,55,96,57.3,61,5,1649,12041,7613,320,122,32,49,58,1808,1617,89.4,169
Mattia De Sciglio,ITA,DF,Juventus,Serie A,26,1992,5.2,400,15,122,223,76,5,350,8,11,72.7,8,0,258,1224,589,24,7,1,7,5,272,260,95.6,12
Lorenzo De Silvestri,ITA,DF,Torino,Serie A,31,1988,24.9,1196,89,302,532,423,66,1015,6,14,42.9,6,0,619,3325,1841,80,36,3,24,17,885,724,81.8,89
Lucas Deaux,FRA,MF,Nîmes,Ligue 1,30,1988,14.8,876,35,230,547,154,27,859,14,20,70.0,14,0,511,2456,1275,51,24,5,12,11,549,490,89.3,43
Mathieu Debuchy,FRA,DF,Saint-Étienne,Ligue 1,34,1985,19.7,1352,84,472,634,315,18,1128,15,24,62.5,18,1,654,3422,1879,72,21,1,11,17,755,674,89.3,26
Troy Deeney,ENG,FW,Watford,Premier League,31,1988,24.7,952,26,75,450,454,111,926,11,22,50.0,11,0,429,1321,580,31,12,3,66,26,1374,708,51.5,201
Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,28,1991,10.9,452,7,42,250,199,33,432,12,17,70.6,14,0,340,2040,960,45,21,7,17,17,462,330,71.4,96
Alessandro Deiola,ITA,MF,Cagliari,Serie A,23,1995,0.0,2,1,2,0,0,0,2,0,0,,0,0,1,5,4,0,0,0,0,0,0,0,,0
Alessandro Deiola,ITA,MF,Lecce,Serie A,23,1995,8.0,383,28,127,208,67,13,373,10,14,71.4,11,0,233,1075,500,22,5,1,4,8,268,239,89.2,19
Romain Del Castillo,FRA,FW,Rennes,Ligue 1,23,1996,13.8,669,6,84,365,292,41,656,37,57,64.9,40,5,546,2979,1801,81,27,7,28,41,681,497,73.0,123
Thomas Delaine,FRA,DF,Metz,Ligue 1,27,1992,13.9,831,30,233,397,280,22,684,18,32,56.3,19,2,522,3631,2391,103,49,11,18,17,541,473,87.4,32
