,Country,League,FIFA,ISO,latitude,longitude,Count
271,Sri Lanka,Premier League,SRI,LKA,7.873054,80.771797,1
272,Switzerland,Bundesliga,SUI,CHE,46.818188,8.227512,19
273,Switzerland,La Liga,SUI,CHE,46.818188,8.227512,1
274,Switzerland,Ligue 1,SUI,CHE,46.818188,8.227512,5
275,Switzerland,Premier League,SUI,CHE,46.818188,8.227512,2
276,Switzerland,Serie A,SUI,CHE,46.818188,8.227512,7
277,Suriname,Bundesliga,SUR,SUR,3.919305,-56.027783,1
278,Suriname,Serie A,SUR,SUR,3.919305,-56.027783,1
279,Slovakia,Bundesliga,SVK,SVK,48.669026,19.699024,3
280,Slovakia,La Liga,SVK,SVK,48.669026,19.699024,2
281,Slovakia,Premier League,SVK,SVK,48.669026,19.699024,2
282,Slovakia,Serie A,SVK,SVK,48.669026,19.699024,7
283,Slovenia,Bundesliga,SVN,SVN,46.151241,14.995463,1
284,Slovenia,La Liga,SVN,SVN,46.151241,14.995463,1
285,Slovenia,Serie A,SVN,SVN,46.151241,14.995463,6
286,Sweden,Bundesliga,SWE,SWE,60.128161,18.643501,5
287,Sweden,La Liga,SWE,SWE,60.128161,18.643501,4
288,Sweden,Ligue 1,SWE,SWE,60.128161,18.643501,2
289,Sweden,Premier League,SWE,SWE,60.128161,18.643501,7
290,Sweden,Serie A,SWE,SWE,60.128161,18.643501,6
291,Togo,Bundesliga,TOG,TGO,8.619543,0.824782,1
292,Togo,La Liga,TOG,TGO,8.619543,0.824782,1
293,Togo,Ligue 1,TOG,TGO,8.619543,0.824782,2
294,Tunisia,Bundesliga,TUN,TUN,33.886917,9.537499,2
295,Tunisia,Ligue 1,TUN,TUN,33.886917,9.537499,5
296,Tunisia,Premier League,TUN,TUN,33.886917,9.537499,1
297,Tunisia,Serie A,TUN,TUN,33.886917,9.537499,1
298,Turkey,Bundesliga,TUR,TUR,38.963745,35.243322,3
299,Turkey,La Liga,TUR,TUR,38.963745,35.243322,3
300,Turkey,Ligue 1,TUR,TUR,38.963745,35.243322,5
301,Turkey,Premier League,TUR,TUR,38.963745,35.243322,4
302,Turkey,Serie A,TUR,TUR,38.963745,35.243322,5
303,Ukraine,La Liga,UKR,UKR,48.379433,31.16558,1
304,Ukraine,Ligue 1,UKR,UKR,48.379433,31.16558,2
305,Ukraine,Premier League,UKR,UKR,48.379433,31.16558,3
306,Ukraine,Serie A,UKR,UKR,48.379433,31.16558,3
307,Uruguay,La Liga,URU,URY,-32.522779,-55.765835,17
308,Uruguay,Ligue 1,URU,URY,-32.522779,-55.765835,2
309,Uruguay,Premier League,URU,URY,-32.522779,-55.765835,2
310,Uruguay,Serie A,URU,URY,-32.522779,-55.765835,9
311,United States,Bundesliga,USA,USA,37.09024,-95.712891,14
312,United States,La Liga,USA,USA,37.09024,-95.712891,4
313,United States,Ligue 1,USA,USA,37.09024,-95.712891,4
314,United States,Premier League,USA,USA,37.09024,-95.712891,3
315,United States,Serie A,USA,USA,37.09024,-95.712891,5
316,Uzbekistan,Serie A,UZB,UZB,41.377491,64.585262,1
317,Venezuela,Bundesliga,VEN,VEN,6.42375,-66.58973,1
318,Venezuela,La Liga,VEN,VEN,6.42375,-66.58973,2
319,Venezuela,Ligue 1,VEN,VEN,6.42375,-66.58973,1
320,Venezuela,Premier League,VEN,VEN,6.42375,-66.58973,1
321,Venezuela,Serie A,VEN,VEN,6.42375,-66.58973,2
322,Wales,La Liga,WAL,GB-WLS,52.002437,-4.374426,1
323,Wales,Premier League,WAL,GB-WLS,52.002437,-4.374426,12
324,Wales,Serie A,WAL,GB-WLS,52.002437,-4.374426,2
325,Zambia,Premier League,ZAM,ZMB,-13.133897,27.849332,2
326,Zimbabwe,Ligue 1,ZIM,ZWE,-19.015438,29.154857,2
327,Zimbabwe,Premier League,ZIM,ZWE,-19.015438,29.154857,1
